chip_id,application_scenario,compatibility_score,compatibility_level,estimated_lifespan_months,estimated_cost_reduction_percent
CHIP_00000,high_freq_cpu,76.64358176919812,compatible,84,5.328716353839624
CHIP_00000,high_freq_gpu,100.0,compatible,120,10.0
CHIP_00000,mobile_phone,93.79465763854465,compatible,108,8.75893152770893
CHIP_00000,iot_device,71.2789393845674,compatible,84,4.2557878769134785
CHIP_00000,wearable,100.0,compatible,120,10.0
CHIP_00000,aerospace_equipment,70.32215525868057,compatible,84,4.064431051736113
CHIP_00000,medical_device,100.0,compatible,120,10.0
CHIP_00000,automotive_safety,59.97033354283887,marginal,60,1.9940667085677746
CHIP_00000,consumer_tablet,74.51546390841524,compatible,84,4.903092781683048
CHIP_00000,consumer_desktop,100.0,compatible,120,10.0
CHIP_00000,consumer_gaming,59.413501412654995,marginal,60,1.8827002825309989
CHIP_00000,data_center_efficiency,67.83283003199634,marginal,72,3.5665660063992677
CHIP_00001,high_freq_cpu,53.254514120883485,marginal,60,0.650902824176697
CHIP_00001,high_freq_gpu,54.58498397277731,marginal,60,0.9169967945554618
CHIP_00001,mobile_phone,73.18114182013514,compatible,84,4.636228364027028
CHIP_00001,iot_device,60.46428550353836,marginal,72,2.092857100707673
CHIP_00001,wearable,96.74285720817986,compatible,108,9.348571441635972
CHIP_00001,aerospace_equipment,71.49379912245593,compatible,84,4.298759824491185
CHIP_00001,medical_device,41.82171242907013,incompatible,48,0.0
CHIP_00001,automotive_safety,91.42091220066085,compatible,108,8.28418244013217
CHIP_00001,consumer_tablet,100.0,compatible,120,10.0
CHIP_00001,consumer_desktop,48.76880328088147,incompatible,48,0.0
CHIP_00001,consumer_gaming,63.32207670860145,marginal,72,2.6644153417202903
CHIP_00001,data_center_efficiency,66.25703251812202,marginal,72,3.2514065036244033
CHIP_00002,high_freq_cpu,100.0,compatible,120,10.0
CHIP_00002,high_freq_gpu,34.9060301067975,incompatible,36,0.0
CHIP_00002,mobile_phone,56.364999698966805,marginal,60,1.2729999397933611
CHIP_00002,iot_device,58.523620168314054,marginal,60,1.7047240336628107
CHIP_00002,wearable,59.2952410210846,marginal,60,1.8590482042169199
CHIP_00002,aerospace_equipment,62.1955293437682,marginal,72,2.43910586875364
