trial_id,chip_id,deployment_day,operation_date,hours_running_per_day,cpu_utilization_percent,temperature_celsius,num_errors_detected,error_rate_ppm,maintenance_performed,parameter_adjustment_count,system_status
TRIAL_01,CHIP_00035,1,2026-10-02,10.218784537983629,50.565307191231526,51.013067673617655,1,1421.2563833943545,0,0,normal
TRIAL_01,CHIP_00801,1,2026-10-02,12.402700196503774,62.92852698653758,45.3209944960753,0,129.4816722798193,0,1,normal
TRIAL_01,CHIP_00810,1,2026-10-02,20.523078663894303,91.30534170484886,41.48877219887366,0,461.7737038276279,0,0,normal
TRIAL_01,CHIP_00408,1,2026-10-02,16.683378605884386,75.93949016868285,47.578171244860876,2,73.72914039977212,0,1,normal
TRIAL_01,CHIP_00200,1,2026-10-02,15.520018563324296,57.81773981758144,37.46332874614196,1,451.4839762258032,0,0,normal
TRIAL_01,CHIP_00076,1,2026-10-02,13.527928663676276,60.035510591204115,49.00802063678235,0,739.0997229094759,0,1,normal
TRIAL_01,CHIP_00671,1,2026-10-02,11.058370636104476,55.25983846874354,46.497498815201865,2,253.39149040393784,0,0,normal
TRIAL_01,CHIP_00630,1,2026-10-02,19.646978037762533,85.95253633971618,32.44241781795933,0,99.38048686442468,0,0,normal
TRIAL_01,CHIP_00605,1,2026-10-02,16.685298456062704,84.63996700760482,46.05519301719442,1,163.0489619602387,0,0,normal
TRIAL_01,CHIP_00110,1,2026-10-02,20.79177873044407,78.71820538160628,40.94775921736292,0,310.3789167662256,0,0,normal
TRIAL_01,CHIP_00885,1,2026-10-02,16.384774272942273,48.01826981602349,37.5335824220946,0,46.07528167421126,0,0,normal
TRIAL_01,CHIP_00396,1,2026-10-02,20.74615144870309,42.943274868495436,44.43391948098158,0,231.31107354640704,0,1,normal
TRIAL_01,CHIP_00217,1,2026-10-02,15.345702828839304,47.48098169754252,42.73710424986463,0,541.6395968150533,0,0,normal
TRIAL_01,CHIP_00748,1,2026-10-02,12.018854498373472,75.56243549334884,45.91576942720743,1,286.7001086182477,0,0,normal
TRIAL_01,CHIP_00574,1,2026-10-02,16.340765752876738,59.30945573654389,39.480259271630054,1,2135.35642142486,0,0,normal
TRIAL_01,CHIP_00600,1,2026-10-02,16.62119200110076,59.939612552276294,39.333607820109805,0,280.7301833515241,0,2,normal
TRIAL_01,CHIP_00687,1,2026-10-02,16.774147285407743,51.68710702612487,48.303451719722815,0,99.8433757086189,0,0,normal
TRIAL_01,CHIP_00869,1,2026-10-02,19.586690209671165,89.09088222537068,41.610615873616084,0,163.98430117790878,0,0,normal
TRIAL_01,CHIP_00675,1,2026-10-02,20.05540073724169,54.429674168931854,41.40660373297731,0,560.6884554093034,0,0,warning
TRIAL_01,CHIP_00298,1,2026-10-02,21.757976383402664,34.74117174453991,39.48715382406859,1,177.18637803210035,0,1,normal
TRIAL_01,CHIP_00991,1,2026-10-02,15.32487101225033,44.453261139257705,46.95917516317241,0,254.3103893762929,0,1,normal
TRIAL_01,CHIP_00519,1,2026-10-02,10.081733192365714,61.41350660528586,31.51835842999019,0,265.5458191716766,0,2,normal
TRIAL_01,CHIP_00893,1,2026-10-02,16.879959883008915,76.81747440804217,32.20804658641014,0,779.0267886906636,0,0,normal
TRIAL_01,CHIP_00350,1,2026-10-02,10.581360645292895,70.83372401367822,37.40148750593903,0,244.68347209654533,0,1,normal
TRIAL_01,CHIP_00853,1,2026-10-02,23.436021811954838,47.999098870951144,55.57997170656427,1,103.8032148915746,0,0,normal
