chip_id,failure_mode,failure_time_hours,failure_phenomenon,root_cause,predicted_mttf_hours
CHIP_00151,physical_damage,28.967586309482016,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,57.93517261896403
CHIP_00333,physical_damage,7.369887564333778,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,14.739775128667556
CHIP_00503,multi_param_combined,74.09493084329914,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,148.18986168659828
CHIP_00937,thermal_accumulation,72.78237229908993,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,145.56474459817986
CHIP_00187,physical_damage,20.108860119841392,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,40.217720239682784
CHIP_00769,physical_damage,8.944408046360273,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,17.888816092720546
CHIP_00296,thermal_accumulation,39.449654705092094,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,78.89930941018419
CHIP_00373,thermal_accumulation,65.7513833520263,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,131.5027667040526
CHIP_00796,multi_param_combined,50.69819183879073,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,101.39638367758145
CHIP_00893,physical_damage,21.235081169585026,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,42.47016233917005
CHIP_00155,physical_damage,21.84262939348223,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,43.68525878696446
CHIP_00809,thermal_accumulation,88.75331502591742,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,177.50663005183483
CHIP_00806,multi_param_combined,49.07066395854284,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,98.14132791708568
CHIP_00853,thermal_accumulation,95.16478953991808,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,190.32957907983615
CHIP_00850,physical_damage,37.9103153694511,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,75.8206307389022
CHIP_00515,noise_margin_insufficient,45.67148699169372,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,91.34297398338744
CHIP_00146,thermal_accumulation,100.67093528834792,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,201.34187057669584
CHIP_00018,physical_damage,36.68090911790235,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,73.3618182358047
CHIP_00595,physical_damage,5.327716004923286,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,10.655432009846573
CHIP_00779,thermal_accumulation,46.60126062536443,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,93.20252125072886
CHIP_00692,physical_damage,56.07369214642398,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,112.14738429284796
CHIP_00949,physical_damage,3.643372940101014,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,7.286745880202028
CHIP_00701,noise_margin_insufficient,61.01996739454127,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,122.03993478908254
CHIP_00661,physical_damage,26.176978086918332,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,52.353956173836664
CHIP_00962,thermal_accumulation,126.69023798887861,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,253.38047597775721
CHIP_00540,noise_margin_insufficient,124.31106679044117,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,248.62213358088235
CHIP_00230,multi_param_combined,37.93107095274733,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,75.86214190549467
CHIP_00549,physical_damage,74.51930229800523,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,149.03860459601046
CHIP_00726,thermal_accumulation,80.85486278336151,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,161.70972556672302
CHIP_00674,noise_margin_insufficient,139.5708876494497,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,279.1417752988994
CHIP_00678,multi_param_combined,41.115533331377485,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,82.23106666275497
CHIP_00644,multi_param_combined,39.77611430430264,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,79.55222860860528
CHIP_00633,thermal_accumulation,54.50055254742149,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,109.00110509484298
CHIP_00281,physical_damage,26.17355357564456,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,52.34710715128912
CHIP_00604,physical_damage,7.300130801334693,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,14.600261602669386
CHIP_00229,thermal_accumulation,91.892792653529,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,183.785585307058
CHIP_00741,thermal_accumulation,93.48783426644798,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,186.97566853289595
CHIP_00625,physical_damage,4.365624143761324,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,8.731248287522648
CHIP_00805,noise_margin_insufficient,98.99691613375697,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,197.99383226751394
CHIP_00413,noise_margin_insufficient,78.29514051512295,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,156.5902810302459
CHIP_00301,thermal_accumulation,58.32162664097222,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,116.64325328194444
CHIP_00559,physical_damage,36.180498255756284,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,72.36099651151257
CHIP_00475,physical_damage,11.021990274705733,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,22.043980549411465
CHIP_00000,multi_param_combined,62.43695301571958,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,124.87390603143916
CHIP_00035,physical_damage,5.070713500897838,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,10.141427001795677
CHIP_00338,noise_margin_insufficient,103.4792308135103,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,206.9584616270206
CHIP_00357,physical_damage,1.5448118131409714,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,3.0896236262819428
CHIP_00030,physical_damage,31.464138879201116,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,62.92827775840223
CHIP_00179,multi_param_combined,41.61274773268613,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,83.22549546537226
CHIP_00636,physical_damage,73.03700193544466,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,146.07400387088933
CHIP_00235,multi_param_combined,33.90198146236264,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,67.80396292472528
CHIP_00833,multi_param_combined,79.39242844769952,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,158.78485689539903
CHIP_00517,noise_margin_insufficient,82.34060409174369,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,164.68120818348737
CHIP_00459,multi_param_combined,68.30038689068424,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,136.60077378136847
CHIP_00880,multi_param_combined,61.88778936889961,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,123.77557873779922
CHIP_00346,multi_param_combined,76.90001169008795,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,153.8000233801759
CHIP_00565,physical_damage,3.9398235649289957,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,7.879647129857991
CHIP_00681,physical_damage,32.853316776484114,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,65.70663355296823
CHIP_00240,physical_damage,16.328865811950447,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,32.657731623900894
CHIP_00794,physical_damage,7.867717760700012,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,15.735435521400024
CHIP_00127,thermal_accumulation,79.14894311590461,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,158.29788623180923
CHIP_00307,physical_damage,5.431076440447727,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,10.862152880895454
CHIP_00696,noise_margin_insufficient,96.01496331815098,"Signal integrity failure, intermittent errors",Parameter degradation due to noise_margin_insufficient,192.02992663630195
CHIP_00424,thermal_accumulation,78.27354214644802,"Thermal runaway, power consumption surged",Parameter degradation due to thermal_accumulation,156.54708429289605
CHIP_00655,physical_damage,8.521880793336022,"Physical connection broken, device disconnected",Parameter degradation due to physical_damage,17.043761586672044
CHIP_00500,multi_param_combined,59.45622588814021,"Timing violation, failed functional tests",Parameter degradation due to multi_param_combined,118.91245177628042
