chip_id,application_scenario,compatibility_score,compatibility_level
CHIP_00000,high_frequency_computing,100.0,compatible
CHIP_00000,power_efficient_device,72.14167712315167,compatible
CHIP_00000,high_reliability_critical,59.564396487581405,marginal
CHIP_00000,consumer_electronics,89.34493880627184,compatible
CHIP_00001,high_frequency_computing,62.741029968345366,marginal
CHIP_00001,power_efficient_device,64.29851357321262,marginal
CHIP_00001,high_reliability_critical,6.453537797040063,incompatible
CHIP_00001,consumer_electronics,81.36280378068734,compatible
CHIP_00002,high_frequency_computing,77.32550260114762,compatible
CHIP_00002,power_efficient_device,56.405077613050146,marginal
CHIP_00002,high_reliability_critical,78.54169394326935,compatible
CHIP_00002,consumer_electronics,81.86702573129833,compatible
CHIP_00003,high_frequency_computing,64.36411798735695,marginal
CHIP_00003,power_efficient_device,90.57618653905733,compatible
CHIP_00003,high_reliability_critical,59.60945245451606,marginal
CHIP_00003,consumer_electronics,64.28761371390534,marginal
CHIP_00004,high_frequency_computing,39.7742846660102,incompatible
CHIP_00004,power_efficient_device,100.0,compatible
CHIP_00004,high_reliability_critical,68.777461730511,marginal
CHIP_00004,consumer_electronics,81.25274064479852,compatible
CHIP_00005,high_frequency_computing,74.12404520503738,compatible
CHIP_00005,power_efficient_device,100.0,compatible
CHIP_00005,high_reliability_critical,69.27816490414533,marginal
CHIP_00005,consumer_electronics,100.0,compatible
CHIP_00006,high_frequency_computing,77.91611776464401,compatible
CHIP_00006,power_efficient_device,3.132333990741074,incompatible
CHIP_00006,high_reliability_critical,100.0,compatible
CHIP_00006,consumer_electronics,84.7290714223971,compatible
CHIP_00007,high_frequency_computing,64.86197316487763,marginal
CHIP_00007,power_efficient_device,63.58202077847636,marginal
CHIP_00007,high_reliability_critical,55.76767867801287,marginal
CHIP_00007,consumer_electronics,61.377072978067595,marginal
CHIP_00008,high_frequency_computing,92.54443319052359,compatible
CHIP_00008,power_efficient_device,58.85343108507384,marginal
CHIP_00008,high_reliability_critical,38.955970256658844,incompatible
CHIP_00008,consumer_electronics,100.0,compatible
CHIP_00009,high_frequency_computing,51.939155486640786,marginal
CHIP_00009,power_efficient_device,67.8053500868079,marginal
CHIP_00009,high_reliability_critical,0.0,incompatible
CHIP_00009,consumer_electronics,98.81449778816979,compatible
CHIP_00010,high_frequency_computing,69.35107439517772,marginal
CHIP_00010,power_efficient_device,90.42299773078446,compatible
CHIP_00010,high_reliability_critical,36.70187076736103,incompatible
CHIP_00010,consumer_electronics,55.76488546326442,marginal
CHIP_00011,high_frequency_computing,60.080248639756704,marginal
CHIP_00011,power_efficient_device,100.0,compatible
CHIP_00011,high_reliability_critical,82.31570399937476,compatible
CHIP_00011,consumer_electronics,55.75325644142217,marginal
CHIP_00012,high_frequency_computing,26.608671190283985,incompatible
CHIP_00012,power_efficient_device,61.969525094061396,marginal
CHIP_00012,high_reliability_critical,97.77115586614315,compatible
CHIP_00012,consumer_electronics,68.62224427126148,marginal
CHIP_00013,high_frequency_computing,96.52620714665443,compatible
CHIP_00013,power_efficient_device,73.17425643460717,compatible
CHIP_00013,high_reliability_critical,100.0,compatible
CHIP_00013,consumer_electronics,69.8193055771269,marginal
CHIP_00014,high_frequency_computing,73.79911995490514,compatible
CHIP_00014,power_efficient_device,53.62016181916678,marginal
CHIP_00014,high_reliability_critical,94.56052129397321,compatible
CHIP_00014,consumer_electronics,88.86226185513425,compatible
CHIP_00015,high_frequency_computing,41.03127946424944,incompatible
CHIP_00015,power_efficient_device,87.3043631831834,compatible
CHIP_00015,high_reliability_critical,20.32977530289137,incompatible
CHIP_00015,consumer_electronics,66.33155271869714,marginal
CHIP_00016,high_frequency_computing,89.9138194809471,compatible
CHIP_00016,power_efficient_device,38.63843754418395,incompatible
CHIP_00016,high_reliability_critical,53.85751249901512,marginal
CHIP_00016,consumer_electronics,91.3907881748112,compatible
CHIP_00017,high_frequency_computing,83.30411646929927,compatible
CHIP_00017,power_efficient_device,78.91811126920649,compatible
CHIP_00017,high_reliability_critical,88.75388846139052,compatible
CHIP_00017,consumer_electronics,99.60533396172181,compatible
CHIP_00018,high_frequency_computing,50.18941868220953,marginal
CHIP_00018,power_efficient_device,78.33114043370458,compatible
CHIP_00018,high_reliability_critical,93.93555743408285,compatible
CHIP_00018,consumer_electronics,91.51780184302713,compatible
CHIP_00019,high_frequency_computing,71.81344514335379,compatible
CHIP_00019,power_efficient_device,64.57244732216614,marginal
CHIP_00019,high_reliability_critical,89.72993868040525,compatible
CHIP_00019,consumer_electronics,83.21037538761048,compatible
CHIP_00020,high_frequency_computing,96.88261764725554,compatible
CHIP_00020,power_efficient_device,72.7467468140131,compatible
CHIP_00020,high_reliability_critical,53.793335741895305,marginal
CHIP_00020,consumer_electronics,53.547985945875766,marginal
CHIP_00021,high_frequency_computing,70.39126984098993,compatible
CHIP_00021,power_efficient_device,39.22614474847119,incompatible
CHIP_00021,high_reliability_critical,10.113668997240438,incompatible
CHIP_00021,consumer_electronics,67.01682405191238,marginal
CHIP_00022,high_frequency_computing,89.0622464277329,compatible
CHIP_00022,power_efficient_device,63.95373204231403,marginal
CHIP_00022,high_reliability_critical,70.34530339093409,compatible
CHIP_00022,consumer_electronics,90.1039871415492,compatible
CHIP_00023,high_frequency_computing,74.28384760906607,compatible
CHIP_00023,power_efficient_device,52.79968802113606,marginal
CHIP_00023,high_reliability_critical,51.61674107564334,marginal
CHIP_00023,consumer_electronics,91.58644676605041,compatible
CHIP_00024,high_frequency_computing,74.47574647033302,compatible
CHIP_00024,power_efficient_device,6.3944092715761585,incompatible
CHIP_00024,high_reliability_critical,54.40555058782256,marginal
CHIP_00024,consumer_electronics,87.97511945398848,compatible
CHIP_00025,high_frequency_computing,78.65754032828671,compatible
CHIP_00025,power_efficient_device,44.486381946549855,incompatible
CHIP_00025,high_reliability_critical,42.61732532871193,incompatible
CHIP_00025,consumer_electronics,50.77040424402692,marginal
CHIP_00026,high_frequency_computing,85.98736813433622,compatible
CHIP_00026,power_efficient_device,85.54499374497915,compatible
CHIP_00026,high_reliability_critical,60.99820515449545,marginal
CHIP_00026,consumer_electronics,74.74522666138978,compatible
CHIP_00027,high_frequency_computing,53.37059122978428,marginal
CHIP_00027,power_efficient_device,78.30933739484334,compatible
CHIP_00027,high_reliability_critical,15.734499350959283,incompatible
CHIP_00027,consumer_electronics,91.652392475895,compatible
CHIP_00028,high_frequency_computing,86.58354498254792,compatible
CHIP_00028,power_efficient_device,99.20460753853483,compatible
CHIP_00028,high_reliability_critical,66.51044150884428,marginal
CHIP_00028,consumer_electronics,72.2001170950997,compatible
CHIP_00029,high_frequency_computing,83.64366145672209,compatible
CHIP_00029,power_efficient_device,89.52293134410154,compatible
CHIP_00029,high_reliability_critical,30.269311190200305,incompatible
CHIP_00029,consumer_electronics,78.9615280104001,compatible
CHIP_00030,high_frequency_computing,80.30727481587257,compatible
CHIP_00030,power_efficient_device,82.03250239282981,compatible
CHIP_00030,high_reliability_critical,54.43106400549121,marginal
CHIP_00030,consumer_electronics,89.46525479947537,compatible
CHIP_00031,high_frequency_computing,55.79614879145621,marginal
CHIP_00031,power_efficient_device,100.0,compatible
CHIP_00031,high_reliability_critical,46.268616690946956,incompatible
CHIP_00031,consumer_electronics,86.11657228350681,compatible
CHIP_00032,high_frequency_computing,63.94924370768966,marginal
CHIP_00032,power_efficient_device,72.44966764938555,compatible
CHIP_00032,high_reliability_critical,32.62273363270037,incompatible
CHIP_00032,consumer_electronics,96.13359952331454,compatible
CHIP_00033,high_frequency_computing,58.65228207914444,marginal
CHIP_00033,power_efficient_device,72.03984200176869,compatible
CHIP_00033,high_reliability_critical,63.08364441366692,marginal
CHIP_00033,consumer_electronics,69.47504837259186,marginal
CHIP_00034,high_frequency_computing,24.096419474750817,incompatible
CHIP_00034,power_efficient_device,96.48502245447156,compatible
CHIP_00034,high_reliability_critical,69.3314325195258,marginal
CHIP_00034,consumer_electronics,53.895457071353896,marginal
CHIP_00035,high_frequency_computing,36.73422637627563,incompatible
CHIP_00035,power_efficient_device,61.94866519970738,marginal
CHIP_00035,high_reliability_critical,62.525955379025326,marginal
CHIP_00035,consumer_electronics,76.77559340209116,compatible
CHIP_00036,high_frequency_computing,100.0,compatible
CHIP_00036,power_efficient_device,28.26081677718757,incompatible
CHIP_00036,high_reliability_critical,71.36876979241835,compatible
CHIP_00036,consumer_electronics,89.68446600764065,compatible
