failure_mode,severity_level,failure_trigger,detection_difficulty,repair_feasibility,failure_probability,time_to_failure_hours,repair_cost_yuan,repair_success_rate,repair_time_hours
physical_damage,minor,mechanical_shock,easy,impossible,0.31959148828246037,363.8982507854261,163.6980261479453,0.34063906911928055,93.04439390219312
physical_damage,minor,static_discharge,easy,impossible,0.411207022592863,184.35639387106028,358.03676165331217,0.922144645172067,58.77746518155239
physical_damage,moderate,mechanical_shock,easy,impossible,0.4308527699280969,63.77529977580147,377.983028748341,0.7947518858637062,11.6588416711836
physical_damage,moderate,static_discharge,easy,impossible,0.4530790815444496,30.689438102118682,69.16915559526811,0.897431057181006,34.82692536966347
physical_damage,severe,mechanical_shock,easy,impossible,0.38960868349784417,846.4329903351788,222.2211217786779,0.543032072332142,6.441087634945281
physical_damage,severe,static_discharge,easy,impossible,0.2814855400086892,14.856640516793178,407.8612046967722,0.9203792561129465,98.96291623701751
thermal_accumulation,mild,high_ambient_temp,moderate,possible,0.48270194922235704,301.9403681358391,399.4484812439952,0.4900973377518488,43.49017049280634
thermal_accumulation,mild,prolonged_high_load,moderate,possible,0.18355582862688638,95.48959902315626,351.536250872834,0.6103099804901482,75.87488631015987
thermal_accumulation,moderate,high_ambient_temp,moderate,possible,0.3340703756130623,969.2852033990416,122.94786769094083,0.9587912905118632,89.43499451610903
thermal_accumulation,moderate,prolonged_high_load,moderate,possible,0.1563341339755807,159.68356853658463,265.2624392795156,0.8583388650669619,47.45712385775236
thermal_accumulation,severe,high_ambient_temp,moderate,possible,0.3386179637791482,728.7401080764464,205.88668151169912,0.9005568738386831,25.240510120749946
thermal_accumulation,severe,prolonged_high_load,moderate,possible,0.14016004628239462,1780.3767590093819,220.89148129739667,0.6788449752486538,82.65366079787957
noise_margin_insufficient,marginal,EMI_interference,hard,partial,0.32669591825351046,614.1089296898161,421.7855172641232,0.38656697014757363,49.18166406626035
noise_margin_insufficient,marginal,signal_reflection,hard,partial,0.41142578193467366,518.5361186557972,492.47872610032823,0.3724712766213675,86.38417102760508
noise_margin_insufficient,critical,EMI_interference,hard,partial,0.09019713115149544,248.14213885161405,469.2420406815572,0.3781812180288832,4.313178243061498
noise_margin_insufficient,critical,signal_reflection,hard,partial,0.499633015302909,754.1204207441463,147.8376931015315,0.6194745503119279,72.18961703579959
electromigration,early,high_current_density,very_hard,impossible,0.37657641740320735,502.40113601528327,202.4501429520791,0.591564197250104,39.16269975219227
electromigration,early,elevated_temperature,very_hard,impossible,0.18898046470841004,805.5019910874245,417.8501252958422,0.8862473844889682,38.24367781943337
electromigration,advanced,high_current_density,very_hard,impossible,0.2697181174115856,799.4669193940929,313.070355197859,0.306688870242974,67.72902961766941
electromigration,advanced,elevated_temperature,very_hard,impossible,0.30744787571856813,141.05045598795928,191.4251713796268,0.9384745235912193,61.25173495860497
electromigration,critical,high_current_density,very_hard,impossible,0.47084349769542816,15.754939484823483,433.09684878390624,0.7098638577618056,93.24772937302274
electromigration,critical,elevated_temperature,very_hard,impossible,0.3648654777652508,1776.182183461813,148.44860250846085,0.9612756434749041,41.9546554357292
oxide_breakdown,early,voltage_overstress,very_hard,impossible,0.031790617353227864,1142.8022984844213,497.09022850063536,0.7684099587405898,80.81230834260984
oxide_breakdown,early,high_temperature,very_hard,impossible,0.07888231576690577,1051.9116031365706,102.98061239138431,0.5915625266581931,31.25034180337
oxide_breakdown,late,voltage_overstress,very_hard,impossible,0.12367712713614117,2263.8156014902215,381.19655791279166,0.690798985166912,13.34776452918638
oxide_breakdown,late,high_temperature,very_hard,impossible,0.3461967806443495,342.4057551313199,258.1995577589906,0.4088242098981049,24.19489102809095
