chip_id,pin_flatness_deviation_um,solder_pad_oxidation_percent,package_scratch_depth_um,warpage_um,pin_coplanarity_percent,package_size_deviation_percent,appearance_test_pass,appearance_quality_score,vdd_voltage,idd_static_ma,idd_dynamic_ma,voh_voltage,vol_voltage,vih_voltage,vil_voltage,iil_leakage_ua,iol_leakage_ua,dc_test_pass,dc_electrical_quality_score,setup_time_ns,hold_time_ns,propagation_delay_ns,rise_time_ns,fall_time_ns,fmax_mhz,ac_test_pass,ac_electrical_quality_score,jtag_scan_pass,boundary_scan_pass,functional_test_pass,functional_quality_score,aging_temperature_c,aging_voltage_v,aging_frequency_mhz,aging_duration_hours,reliability_risk_level,production_date,chip_model
CHIP_00000,27.45071229516849,5.024477467772092,2.472682368674306,31.798991157041097,94.07986348591889,-0.9163163844733273,1,88.15599963638454,3.3409438530642253,0.9362300106838194,111.39038060978103,3.2028543818889226,0.1170671123608307,2.531617608153002,0.8076927603684423,0.09062719242931902,1.8937425720903747,1,85.73861745370019,5.878518759651138,1.6163416534236879,7.274617924919493,2.0905778671182276,1.2053466558982402,316.94339361486277,1,78.70304811953434,1,1,1,100.0,85,3.2355944634966236,228.3930943215612,48,low,2024-05-21,MODEL_A
CHIP_00001,17.92603548243223,3.137035210032008,0.37412565838195827,56.33851076838418,100.02140000941948,1.4369107585238183,1,88.27954442371714,3.2723328228280852,1.2863275910884153,233.28016068432635,2.645271694081273,0.08337073902720064,2.3801430813119038,0.8730506244296014,0.5580701174157742,1.1143715540391383,1,81.05497300073007,4.933907090267466,1.8732641198949465,5.569482467078048,0.6657425965261143,1.3772032837371695,302.71503081079703,1,79.40663640329505,1,1,1,100.0,85,3.2849922199888617,256.07957697870063,120,low,2024-01-10,MODEL_B
CHIP_00002,29.71532807151039,19.0929074863091,1.1431801916276623,86.00236869280585,98.00843488907869,0.13267011137630635,1,85.69908956891176,3.3113394391966686,4.284228362270056,131.22499799622145,3.30781099671329,0.00806525074683432,2.1938594575977093,0.8923721848260417,0.21741764116985568,0.5463112199951972,1,87.21206882571332,6.415376131066345,1.6314464060263916,1.9057126647417908,1.6232479622746505,1.6265302280258054,335.16080150552943,1,80.46617696413658,0,1,1,66.69999999999999,85,3.2792636059326834,174.02940545628468,48,low,2024-11-26,MODEL_C
CHIP_00003,42.84544784612038,21.194271794607033,4.137906434050309,35.24292657481384,96.31757122013978,1.4652878621213454,1,84.2085884880426,3.3458994001674287,2.7533689777829196,184.9732123447851,2.7441061357663896,0.017748721664835244,2.4430362641506496,0.7338419010822008,0.372007939340365,0.9209454240614391,1,81.23986043017857,3.583180002736549,2.7468946495490663,8.994118289107028,2.225451838808403,1.7639624927584137,315.5702862333929,1,78.01143141061229,1,1,1,100.0,85,3.3158863350604797,208.37992616199705,96,low,2024-01-08,MODEL_A
CHIP_00004,16.48769937914996,0.9475843447692611,16.224506094256462,-6.296581181256222,94.528193539084,-0.8239407805253484,1,91.49059461587672,3.2811797561227176,3.6172846647348393,56.249630626403174,2.9059360762841555,0.049110350634203964,2.527465312403834,0.986033255941672,0.290360636681062,1.7935018344509899,1,89.84770951360247,3.9318794318690005,1.6120384985316978,4.439978482440068,1.8558632396146435,0.9971317491838741,236.6179236662823,1,76.87059651882122,1,1,1,100.0,85,3.308350898905848,282.802178360148,96,low,2024-01-11,MODEL_A
CHIP_00005,16.48794564576229,28.086367387310695,8.487457425913128,68.59134337898409,94.84267164565244,0.9062162387603874,1,82.08652804346433,3.2896413146594217,0.935730492823335,208.99942648448933,2.99386236972074,0.02053086233204232,2.492472180551342,0.6232674577397602,0.09532971264710724,0.8638847598660482,1,84.01081812699402,3.0992126515170675,1.4776719943616583,4.694485420187165,0.8987345372197351,1.4497073039695345,267.03581841720626,1,77.76492435113218,1,1,1,100.0,85,3.339603005103967,188.49039416517627,96,low,2024-03-01,MODEL_A
CHIP_00006,43.688192232610874,1.5591385095441723,7.188091009880626,30.93912833523112,103.14943628735777,1.9525995917912793,1,88.80650321531941,3.278612483244536,5.436971021808342,202.61055779785295,2.9780278993907756,0.15712867481786524,2.3337308516511963,1.171481693948632,0.13028676181354376,0.483879276298772,1,81.10588926303204,3.0693766953274864,3.614342933471627,6.011568504652731,1.1099437468148068,1.4462617231031782,456.8574265630962,1,81.93538873366377,1,1,1,100.0,85,3.2757711728247467,312.28625388014984,168,low,2024-08-16,MODEL_B
CHIP_00007,31.511520937293632,16.238890059032116,3.4741625703664742,14.310000227289159,97.00204845687244,1.4675401739089917,1,87.85959421691261,3.397031620178828,9.570948937858718,154.87170551486514,3.1509616560039833,0.05379745697448446,2.4086761075462646,1.050187913379632,0.04119145559272789,0.247643650000904,1,80.22883574440246,1.9371696012839474,2.9685920094592286,6.750153594008146,1.2288383171964057,1.363909357907992,513.772539410241,1,81.84903049442627,0,1,1,66.69999999999999,85,3.206979424890175,298.71996776506603,120,medium,2024-07-16,MODEL_A
CHIP_00008,12.957884210975719,21.27181558352749,26.84632343586216,31.269638308603277,99.34639000459438,-2.1382123901430994,1,86.7652580790175,3.3418759960127495,1.4916225594827381,138.6528766931038,2.8413245072084647,0.009808909093046159,2.3467163731220073,0.8738991275827687,0.06906622027269681,4.236646471428353,1,83.53581174047885,3.6260152863865267,0.7107893114726398,9.422208582582934,1.1379372993068355,0.9602702945247708,425.0134804184546,1,82.64207102853914,1,1,1,100.0,85,3.3495546438299018,236.58850323301067,24,low,2024-08-28,MODEL_A
CHIP_00009,28.138400653789468,26.129073712382567,5.058630265746683,44.46423927032451,94.62730185499734,-0.8805141163135715,1,83.5308636879014,3.322058353773736,3.3815901997765767,170.0000002806783,3.0391150226224597,0.06623132736917418,2.3180733535810627,0.9009426360563774,0.3011288198406387,1.1607550735175793,1,82.71820526867263,2.3161301076707046,1.5881853681179732,2.1798637011886073,2.4172673014261843,0.6859660937679446,338.2579152130099,1,80.87619162654161,1,1,1,100.0,85,3.253198374347591,399.93670527512324,72,low,2024-11-22,MODEL_B
